location	cabin url	image url	caption	lat	lng	cabin_page_url
Jutland, 6040 Egtved, Denmark	http://cabinporn.com/image/132943251893	http://40.media.tumblr.com/2aec70ea57b93b9c496a4bc40503e725/tumblr_ntyaohVPwk1qzwmsso1_1280.jpg	Summer house on Holmsland Dunes in West Jutland, Denmark.	55.62954999999999	9.201050000000002	http://cabinporn.com/page/9
Jutland, 6040 Egtved, Denmark	http://amzn.to/1J70jlQ	http://49.media.tumblr.com/3c88f12401a71a59dc1fd04927cf76bd/tumblr_nxj8rsc6WC1qzwmsso1_1280.gif	Flip through the Cabin Porn book: http://amzn.to/1J70jlQ	55.62954999999999	9.201050000000002	http://cabinporn.com/page/9
France	http://cabinporn.com/image/132806609276	http://40.media.tumblr.com/13022f22da16d5a75a1c3a98c68a67da/tumblr_nxbcf69XyZ1qzwmsso1_1280.jpg	A-frame in Salins-les-bains, France. 	46.227638	2.213749	http://cabinporn.com/page/9
Blakeney, Norfolk, UK	http://cabinporn.com/image/132736676120	http://41.media.tumblr.com/5a166bd8c7f3ab922f0a973058ca0988/tumblr_nx8ourk5s81qzwmsso1_1280.jpg	Floating cabin in Blakney Norfolk, United Kingdom. 	52.953685	1.014356	http://cabinporn.com/page/9
9470 Gratangen, Norway	http://cabinporn.com/image/132671601700	http://41.media.tumblr.com/6294542f4470538dffff23ddb0e7d1ee/tumblr_nx91sscUeq1qzwmsso1_1280.jpg	Earthhouse in Gratangen, Troms, Norway.	68.69544789999999	17.4912636	http://cabinporn.com/page/9
Patagonia, AZ 85624, USA	http://cabinporn.com/image/132607969474	http://41.media.tumblr.com/2f74a257e59d725f316897ec7dcbd599/tumblr_nrmte28Frn1qzwmsso1_1280.jpg	Log cabin in Sector Río Ñadis, Patagonia, Chile.	31.5395378	-110.7561963	http://cabinporn.com/page/10
Vatne, Norway	http://cabinporn.com/image/132544077469	http://36.media.tumblr.com/20aed0e0be7c63d40d83711ff0716ba5/tumblr_nrhk9vWO1p1qzwmsso1_1280.jpg	Farmhouse in Vatnane, Norway.	62.5581792	6.6187002	http://cabinporn.com/page/10
Chios, Chios, Greece	http://cabinporn.com/image/132479553711	http://36.media.tumblr.com/41451768c0f8b205030bc934b4111943/tumblr_nruqkwoMjX1qzwmsso1_1280.jpg	Fisherman’s hut in Agia Fotini on Chios Island, Greece.	38.36818239999999	26.1310056	http://cabinporn.com/page/10
34257 Palenzuela, Palencia, Spain	http://cabinporn.com/image/132475331440	http://41.media.tumblr.com/11de242c3fba754e35e135f5abba98c9/tumblr_msv04u5O1x1qzwmsso1_1280.jpg	Subterranean cabin in Palenzuela, Spain.	42.0961086	-4.1302671	http://cabinporn.com/page/10
Ulvik, Norway	http://cabinporn.com/image/132413196799	http://40.media.tumblr.com/57f8f65887a39ef021e5cb0a41bb393e/tumblr_nw2w1lJpRj1qzwmsso1_1280.jpg	Abandoned hunting cabin in Ulvik, Norway.	60.5692306	6.916875099999999	http://cabinporn.com/page/10
	http://cabinporn.com/image/132338192864	http://36.media.tumblr.com/44766d4cbecefc465b43633c308ca01e/tumblr_nrhk8hYKE01qzwmsso1_1280.jpg	Kvitlen mountain lodge, a self service cabin built by the Norwegian Trekking Association in the Bjerkreim, Norway. 			http://cabinporn.com/page/10
Autostrada Transilvania, Romania	http://cabinporn.com/image/132276401719	http://41.media.tumblr.com/4e1895e4016884a280956acb77d82e0e/tumblr_my7p2pSnva1qzwmsso1_1280.jpg	An old bakehouse in Transylvania, Romania. 	46.5233572	23.9001606	http://cabinporn.com/page/10
Belgrade, Serbia	http://cabinporn.com/image/132088099805	http://41.media.tumblr.com/65874f05a7dac7c93b8f036d0eae58b2/tumblr_n29j13FoPe1qzwmsso1_1280.jpg	The Rurban Shack in Belgrade, Serbia.	44.786568	20.4489216	http://cabinporn.com/page/10
New Sweden Rd NE, Bainbridge Island, WA 98110, USA	http://cabinporn.com/image/132022517759	http://41.media.tumblr.com/7b4eea9b13643f78c8927e5c4db1b199/tumblr_ngw9laU3H11qzwmsso1_1280.jpg	Shelters along Kings Trail, Northern Sweden. 	47.60963659999999	-122.5156589	http://cabinporn.com/page/10
